Program Year,Program,SFA ID,SFA Name,Claim Date,Meal Type,Number of Sites/Centers/Providers,Total Enrolled,Number of Operating/Serving Days,Free Meals Served,Reduced Price Meals Served,Paid Meals Served,Total Meals Served,Non-Program Adult Meals,Average Daily Attendance (ADA)
2019 - 2020,School Nutrition Programs,108,Danville City Public Schools,02/01/2020,4. PM Snack,10,466,14,"1,992",0,0,"1,992",,285
2019 - 2020,School Nutrition Programs,108,Danville City Public Schools,03/01/2020,1. Breakfast,13,"5,654",9,"30,033",0,0,"30,033",,"5,210"
2019 - 2020,School Nutrition Programs,108,Danville City Public Schools,03/01/2020,3. Lunch,13,"5,654",9,"39,235",0,0,"39,235",,"5,210"
2019 - 2020,School Nutrition Programs,108,Danville City Public Schools,03/01/2020,4. PM Snack,8,390,8,772,0,0,772,,255
2019 - 2020,School Nutrition Programs,109,Falls Church City Public Schools,09/01/2019,1. Breakfast,3,"1,145",20,442,193,552,"1,187",,"1,096"
2019 - 2020,School Nutrition Programs,109,Falls Church City Public Schools,09/01/2019,3. Lunch,3,"1,145",20,891,293,"5,592","6,776",,"1,096"
2019 - 2020,School Nutrition Programs,109,Falls Church City Public Schools,10/01/2019,1. Breakfast,3,"1,145",22,627,233,784,"1,644",,"1,089"
2019 - 2020,School Nutrition Programs,109,Falls Church City Public Schools,10/01/2019,3. Lunch,3,"1,145",22,"1,068",372,"6,723","8,163",,"1,089"
2019 - 2020,School Nutrition Programs,109,Falls Church City Public Schools,11/01/2019,1. Breakfast,3,"1,186",16,503,199,590,"1,292",,"1,136"
2019 - 2020,School Nutrition Programs,109,Falls Church City Public Schools,11/01/2019,3. Lunch,3,"1,186",16,821,297,"5,222","6,340",,"1,136"
2019 - 2020,School Nutrition Programs,109,Falls Church City Public Schools,12/01/2019,1. Breakfast,3,"1,137",15,440,186,522,"1,148",,"1,085"
2019 - 2020,School Nutrition Programs,109,Falls Church City Public Schools,12/01/2019,3. Lunch,3,"1,137",15,771,294,"4,855","5,920",,"1,085"
2019 - 2020,School Nutrition Programs,109,Falls Church City Public Schools,01/01/2020,1. Breakfast,3,"1,141",18,532,221,611,"1,364",,"1,085"
2019 - 2020,School Nutrition Programs,109,Falls Church City Public Schools,01/01/2020,3. Lunch,3,"1,141",18,919,365,"5,684","6,968",,"1,085"
2019 - 2020,School Nutrition Programs,109,Falls Church City Public Schools,02/01/2020,1. Breakfast,3,"1,186",19,608,239,678,"1,525",,"1,132"
2019 - 2020,School Nutrition Programs,109,Falls Church City Public Schools,02/01/2020,3. Lunch,3,"1,186",19,915,377,"6,167","7,459",,"1,132"
2019 - 2020,School Nutrition Programs,109,Falls Church City Public Schools,03/01/2020,1. Breakfast,3,"1,186",9,281,99,381,761,,"1,127"
2019 - 2020,School Nutrition Programs,109,Falls Church City Public Schools,03/01/2020,3. Lunch,3,"1,186",9,446,182,"2,980","3,608",,"1,127"
2019 - 2020,School Nutrition Programs,11,Bland County Public Schools,09/01/2019,1. Breakfast,2,693,20,"2,766",495,"1,772","5,033",,663
2019 - 2020,School Nutrition Programs,11,Bland County Public Schools,09/01/2019,3. Lunch,2,693,20,"3,172",635,"2,551","6,358",,663
2019 - 2020,School Nutrition Programs,11,Bland County Public Schools,10/01/2019,1. Breakfast,2,695,23,"3,367",545,"2,231","6,143",,661
2019 - 2020,School Nutrition Programs,11,Bland County Public Schools,10/01/2019,3. Lunch,2,695,23,"3,777",692,"3,263","7,732",,661
2019 - 2020,School Nutrition Programs,11,Bland County Public Schools,11/01/2019,1. Breakfast,2,696,16,"2,440",375,"1,520","4,335",,661
2019 - 2020,School Nutrition Programs,11,Bland County Public Schools,11/01/2019,3. Lunch,2,696,16,"2,737",504,"2,374","5,615",,661
2019 - 2020,School Nutrition Programs,11,Bland County Public Schools,12/01/2019,1. Breakfast,2,693,14,"2,044",252,"1,133","3,429",,661
2019 - 2020,School Nutrition Programs,11,Bland County Public Schools,12/01/2019,3. Lunch,2,693,14,"2,565",390,"2,040","4,995",,661
2019 - 2020,School Nutrition Programs,11,Bland County Public Schools,01/01/2020,1. Breakfast,2,699,19,"2,754",336,"1,619","4,709",,664
2019 - 2020,School Nutrition Programs,11,Bland County Public Schools,01/01/2020,3. Lunch,2,699,19,"3,395",553,"2,659","6,607",,664
2019 - 2020,School Nutrition Programs,11,Bland County Public Schools,02/01/2020,1. Breakfast,2,689,18,"2,544",359,"1,378","4,281",,654
2019 - 2020,School Nutrition Programs,11,Bland County Public Schools,02/01/2020,3. Lunch,2,689,18,"3,083",514,"2,295","5,892",,654
2019 - 2020,School Nutrition Programs,11,Bland County Public Schools,03/01/2020,1. Breakfast,2,689,19,"1,426",195,848,"2,469",,654
2019 - 2020,School Nutrition Programs,11,Bland County Public Schools,03/01/2020,3. Lunch,2,689,10,"1,815",291,"1,386","3,492",,654
2019 - 2020,School Nutrition Programs,110,Fredericksburg City Public Schools,09/01/2019,1. Breakfast,5,"3,767",20,"24,938",258,"6,891","32,087",,"3,594"
2019 - 2020,School Nutrition Programs,110,Fredericksburg City Public Schools,09/01/2019,3. Lunch,5,"3,767",20,"42,646",545,"12,747","55,938",,"3,594"
2019 - 2020,School Nutrition Programs,110,Fredericksburg City Public Schools,10/01/2019,1. Breakfast,5,"3,776",22,"27,149",277,"8,585","36,011",,"3,597"
2019 - 2020,School Nutrition Programs,110,Fredericksburg City Public Schools,10/01/2019,3. Lunch,5,"3,776",22,"44,500",467,"14,665","59,632",,"3,597"
2019 - 2020,School Nutrition Programs,110,Fredericksburg City Public Schools,11/01/2019,1. Breakfast,5,"3,757",17,"21,718",186,"6,721","28,625",,"3,562"
2019 - 2020,School Nutrition Programs,110,Fredericksburg City Public Schools,11/01/2019,3. Lunch,5,"3,757",17,"35,246",321,"11,312","46,879",,"3,562"
2019 - 2020,School Nutrition Programs,110,Fredericksburg City Public Schools,12/01/2019,1. Breakfast,5,"3,757",13,"16,538",142,"4,949","21,629",,"3,561"
2019 - 2020,School Nutrition Programs,110,Fredericksburg City Public Schools,12/01/2019,3. Lunch,5,"3,757",14,"28,531",228,"8,945","37,704",,"3,561"
2019 - 2020,School Nutrition Programs,110,Fredericksburg City Public Schools,01/01/2020,1. Breakfast,5,"3,763",18,"23,154",203,"6,838","30,195",,"3,551"
2019 - 2020,School Nutrition Programs,110,Fredericksburg City Public Schools,01/01/2020,3. Lunch,5,"3,763",18,"37,517",286,"11,480","49,283",,"3,551"
2019 - 2020,School Nutrition Programs,110,Fredericksburg City Public Schools,02/01/2020,1. Breakfast,5,"3,780",20,"26,572",254,"7,877","34,703",,"3,546"
2019 - 2020,School Nutrition Programs,110,Fredericksburg City Public Schools,02/01/2020,3. Lunch,5,"3,780",20,"41,742",326,"12,550","54,618",,"3,546"
2019 - 2020,School Nutrition Programs,110,Fredericksburg City Public Schools,03/01/2020,1. Breakfast,5,"3,793",8,"10,690",93,"3,215","13,998",,"3,555"
2019 - 2020,School Nutrition Programs,110,Fredericksburg City Public Schools,03/01/2020,3. Lunch,5,"3,793",8,"16,837",127,"5,040","22,004",,"3,555"
2019 - 2020,School Nutrition Programs,111,Galax City Public Schools,09/01/2019,1. Breakfast,1,332,20,"1,902",266,249,"2,417",,325
2019 - 2020,School Nutrition Programs,111,Galax City Public Schools,09/01/2019,1. Breakfast,2,"1,004",20,"4,863",700,724,"6,287",,916
2019 - 2020,School Nutrition Programs,111,Galax City Public Schools,09/01/2019,3. Lunch,3,"1,336",20,"12,152","1,747","3,904","17,803",,"1,241"
2019 - 2020,School Nutrition Programs,111,Galax City Public Schools,09/01/2019,4. PM Snack,1,152,20,925,0,0,925,,47
2019 - 2020,School Nutrition Programs,111,Galax City Public Schools,10/01/2019,1. Breakfast,1,424,18,"1,167",85,321,"1,573",,407
2019 - 2020,School Nutrition Programs,111,Galax City Public Schools,10/01/2019,1. Breakfast,2,908,18,"4,292",575,682,"5,549",,826
2019 - 2020,School Nutrition Programs,111,Galax City Public Schools,10/01/2019,3. Lunch,3,"1,332",18,"9,393","1,161","3,744","14,298",,"1,233"
2019 - 2020,School Nutrition Programs,111,Galax City Public Schools,10/01/2019,4. PM Snack,1,242,13,590,0,0,590,,46
2019 - 2020,School Nutrition Programs,111,Galax City Public Schools,11/01/2019,1. Breakfast,1,328,17,"1,674",149,312,"2,135",,314
2019 - 2020,School Nutrition Programs,111,Galax City Public Schools,11/01/2019,1. Breakfast,2,"1,005",17,"4,174",391,623,"5,188",,899
2019 - 2020,School Nutrition Programs,111,Galax City Public Schools,11/01/2019,3. Lunch,3,"1,333",17,"10,113","1,105","3,882","15,100",,"1,213"
2019 - 2020,School Nutrition Programs,111,Galax City Public Schools,11/01/2019,4. PM Snack,1,224,16,924,0,0,924,,58
2019 - 2020,School Nutrition Programs,111,Galax City Public Schools,12/01/2019,1. Breakfast,1,328,13,"1,117",106,152,"1,375",,309
2019 - 2020,School Nutrition Programs,111,Galax City Public Schools,12/01/2019,1. Breakfast,2,999,13,"3,062",313,444,"3,819",,895
2019 - 2020,School Nutrition Programs,111,Galax City Public Schools,12/01/2019,3. Lunch,3,"1,327",13,"7,611",823,"2,812","11,246",,"1,204"
2019 - 2020,School Nutrition Programs,111,Galax City Public Schools,12/01/2019,4. PM Snack,1,175,12,"1,023",0,0,"1,023",,86
2019 - 2020,School Nutrition Programs,111,Galax City Public Schools,01/01/2020,1. Breakfast,1,328,18,"1,732",143,199,"2,074",,315
2019 - 2020,School Nutrition Programs,111,Galax City Public Schools,01/01/2020,1. Breakfast,2,"1,006",18,"4,466",399,596,"5,461",,901
2019 - 2020,School Nutrition Programs,111,Galax City Public Schools,01/01/2020,3. Lunch,3,"1,334",18,"11,123","1,238","3,800","16,161",,"1,216"
2019 - 2020,School Nutrition Programs,111,Galax City Public Schools,01/01/2020,4. PM Snack,1,227,17,788,0,0,788,,47
2019 - 2020,School Nutrition Programs,111,Galax City Public Schools,02/01/2020,1. Breakfast,1,328,19,"1,593",154,138,"1,885",,310
2019 - 2020,School Nutrition Programs,111,Galax City Public Schools,02/01/2020,1. Breakfast,2,"1,001",19,"4,441",371,416,"5,228",,882
2019 - 2020,School Nutrition Programs,111,Galax City Public Schools,02/01/2020,3. Lunch,3,"1,329",19,"11,184","1,012","2,827","15,023",,"1,192"
2019 - 2020,School Nutrition Programs,111,Galax City Public Schools,02/01/2020,4. PM Snack,1,587,13,"3,756",0,0,"3,756",,289
2019 - 2020,School Nutrition Programs,111,Galax City Public Schools,03/01/2020,1. Breakfast,1,328,5,554,58,79,691,,317
2019 - 2020,School Nutrition Programs,111,Galax City Public Schools,03/01/2020,1. Breakfast,2,"1,011",5,"1,303",108,146,"1,557",,912
2019 - 2020,School Nutrition Programs,111,Galax City Public Schools,03/01/2020,3. Lunch,3,"1,339",5,"3,338",297,861,"4,496",,"1,229"
2019 - 2020,School Nutrition Programs,111,Galax City Public Schools,03/01/2020,4. PM Snack,1,320,4,283,0,0,283,,71
2019 - 2020,School Nutrition Programs,112,Hampton City Public Schools,09/01/2019,1. Breakfast,1,871,19,"1,687",286,864,"2,837",,853
2019 - 2020,School Nutrition Programs,112,Hampton City Public Schools,09/01/2019,1. Breakfast,32,"18,814",19,"103,744","4,602","21,863","130,209",,"17,820"
2019 - 2020,School Nutrition Programs,112,Hampton City Public Schools,09/01/2019,3. Lunch,33,"19,685",19,"164,029","9,703","53,547","227,279",,"18,673"
2019 - 2020,School Nutrition Programs,112,Hampton City Public Schools,09/01/2019,4. PM Snack,21,957,19,"12,245",0,0,"12,245",,757
2019 - 2020,School Nutrition Programs,112,Hampton City Public Schools,10/01/2019,1. Breakfast,1,868,23,"1,954",320,"1,279","3,553",,850
2019 - 2020,School Nutrition Programs,112,Hampton City Public Schools,10/01/2019,1. Breakfast,32,"18,858",23,"135,062","6,134","32,176","173,372",,"17,793"
2019 - 2020,School Nutrition Programs,112,Hampton City Public Schools,10/01/2019,3. Lunch,33,"19,726",23,"201,213","11,915","78,003","291,131",,"18,648"
2019 - 2020,School Nutrition Programs,112,Hampton City Public Schools,10/01/2019,4. PM Snack,24,"1,705",23,"21,006",0,0,"21,006",,"1,208"
2019 - 2020,School Nutrition Programs,112,Hampton City Public Schools,11/01/2019,1. Breakfast,1,867,17,"1,227",247,983,"2,457",,835
2019 - 2020,School Nutrition Programs,112,Hampton City Public Schools,11/01/2019,1. Breakfast,32,"18,857",17,"96,027","4,289","24,458","124,774",,"17,552"
2019 - 2020,School Nutrition Programs,112,Hampton City Public Schools,11/01/2019,3. Lunch,33,"19,724",17,"144,204","8,834","60,069","213,107",,"18,387"
2019 - 2020,School Nutrition Programs,112,Hampton City Public Schools,11/01/2019,4. PM Snack,24,"1,727",17,"14,225",0,0,"14,225",,"1,215"
2019 - 2020,School Nutrition Programs,112,Hampton City Public Schools,12/01/2019,1. Breakfast,1,865,15,"1,093",249,771,"2,113",,834
2019 - 2020,School Nutrition Programs,112,Hampton City Public Schools,12/01/2019,1. Breakfast,32,"18,878",15,"84,364","4,041","21,561","109,966",,"17,366"
2019 - 2020,School Nutrition Programs,112,Hampton City Public Schools,12/01/2019,3. Lunch,33,"19,743",15,"126,257","7,789","52,710","186,756",,"18,200"
2019 - 2020,School Nutrition Programs,112,Hampton City Public Schools,12/01/2019,4. PM Snack,24,"1,802",15,"13,071",0,0,"13,071",,"1,236"
2019 - 2020,School Nutrition Programs,112,Hampton City Public Schools,01/01/2020,1. Breakfast,1,864,17,"1,323",280,890,"2,493",,832
2019 - 2020,School Nutrition Programs,112,Hampton City Public Schools,01/01/2020,1. Breakfast,32,"18,895",17,"94,436","4,325","22,481","121,242",,"17,604"
2019 - 2020,School Nutrition Programs,112,Hampton City Public Schools,01/01/2020,3. Lunch,33,"19,759",17,"141,030","7,866","52,305","201,201",,"18,426"
2019 - 2020,School Nutrition Programs,112,Hampton City Public Schools,01/01/2020,4. PM Snack,24,"1,611",17,"12,130",0,0,"12,130",,"1,008"
2019 - 2020,School Nutrition Programs,112,Hampton City Public Schools,02/01/2020,1. Breakfast,1,864,18,"1,381",279,947,"2,607",,820
2019 - 2020,School Nutrition Programs,112,Hampton City Public Schools,02/01/2020,1. Breakfast,32,"18,904",18,"100,562","4,410","23,829","128,801",,"17,334"
2019 - 2020,School Nutrition Programs,112,Hampton City Public Schools,02/01/2020,3. Lunch,33,"19,778",18,"156,176","8,541","58,064","222,781",,"18,154"
2019 - 2020,School Nutrition Programs,112,Hampton City Public Schools,02/01/2020,4. PM Snack,24,"1,995",17,"14,401",0,0,"14,401",,"1,237"
2019 - 2020,School Nutrition Programs,112,Hampton City Public Schools,03/01/2020,1. Breakfast,1,861,10,865,146,519,"1,530",,826
2019 - 2020,School Nutrition Programs,112,Hampton City Public Schools,03/01/2020,1. Breakfast,32,"18,975",10,"55,225","2,407","12,587","70,219",,"17,476"
2019 - 2020,School Nutrition Programs,112,Hampton City Public Schools,03/01/2020,3. Lunch,33,"19,836",10,"86,020","4,692","30,523","121,235",,"18,302"
2019 - 2020,School Nutrition Programs,112,Hampton City Public Schools,03/01/2020,4. PM Snack,24,"1,910",10,"9,380",0,0,"9,380",,"1,293"
2019 - 2020,School Nutrition Programs,113,Harrisonburg City Public Schools,09/01/2019,1. Breakfast,9,"6,527",19,"58,798","4,396","14,898","78,092",,"6,265"
2019 - 2020,School Nutrition Programs,113,Harrisonburg City Public Schools,09/01/2019,3. Lunch,9,"6,527",19,"65,619","6,561","17,834","90,014",,"6,265"
2019 - 2020,School Nutrition Programs,113,Harrisonburg City Public Schools,09/01/2019,4. PM Snack,4,"3,845",19,"3,657",0,0,"3,657",,"3,665"
2019 - 2020,School Nutrition Programs,113,Harrisonburg City Public Schools,10/01/2019,1. Breakfast,9,"6,539",22,"73,662","5,821","21,300","100,783",,"6,256"
2019 - 2020,School Nutrition Programs,113,Harrisonburg City Public Schools,10/01/2019,3. Lunch,9,"6,539",22,"75,165","7,342","22,650","105,157",,"6,256"
2019 - 2020,School Nutrition Programs,113,Harrisonburg City Public Schools,10/01/2019,4. PM Snack,8,"5,866",22,"4,606",0,0,"4,606",,"5,606"
2019 - 2020,School Nutrition Programs,113,Harrisonburg City Public Schools,11/01/2019,1. Breakfast,9,"6,536",16,"54,755","4,354","15,593","74,702",,"6,192"
2019 - 2020,School Nutrition Programs,113,Harrisonburg City Public Schools,11/01/2019,3. Lunch,9,"6,536",16,"54,874","5,293","16,164","76,331",,"6,192"
2019 - 2020,School Nutrition Programs,113,Harrisonburg City Public Schools,11/01/2019,4. PM Snack,8,"5,870",16,"4,483",0,0,"4,483",,"5,556"
2019 - 2020,School Nutrition Programs,113,Harrisonburg City Public Schools,12/01/2019,1. Breakfast,9,"6,496",14,"43,852","3,448","12,394","59,694",,"6,174"
2019 - 2020,School Nutrition Programs,113,Harrisonburg City Public Schools,12/01/2019,3. Lunch,9,"6,496",14,"47,415","4,575","13,989","65,979",,"6,174"
2019 - 2020,School Nutrition Programs,113,Harrisonburg City Public Schools,12/01/2019,4. PM Snack,7,"5,344",14,"3,109",0,0,"3,109",,"5,079"
2019 - 2020,School Nutrition Programs,113,Harrisonburg City Public Schools,01/01/2020,1. Breakfast,9,"6,507",16,"50,008","3,742","13,727","67,477",,"6,136"
2019 - 2020,School Nutrition Programs,113,Harrisonburg City Public Schools,01/01/2020,3. Lunch,9,"6,507",16,"53,369","4,894","14,878","73,141",,"6,136"
2019 - 2020,School Nutrition Programs,113,Harrisonburg City Public Schools,01/01/2020,4. PM Snack,4,"3,661",14,"2,861",0,0,"2,861",,"3,435"
2019 - 2020,School Nutrition Programs,113,Harrisonburg City Public Schools,02/01/2020,1. Breakfast,9,"6,500",18,"60,356","4,392","16,342","81,090",,"6,069"
2019 - 2020,School Nutrition Programs,113,Harrisonburg City Public Schools,02/01/2020,3. Lunch,9,"6,500",18,"61,707","5,481","16,842","84,030",,"6,069"
2019 - 2020,School Nutrition Programs,113,Harrisonburg City Public Schools,02/01/2020,4. PM Snack,8,"6,094",18,"5,342",0,0,"5,342",,"5,684"
2019 - 2020,School Nutrition Programs,113,Harrisonburg City Public Schools,03/01/2020,1. Breakfast,9,"6,497",8,"26,938","1,961","7,273","36,172",,"6,092"
2019 - 2020,School Nutrition Programs,113,Harrisonburg City Public Schools,03/01/2020,3. Lunch,9,"6,497",8,"27,531","2,368","7,417","37,316",,"6,092"
2019 - 2020,School Nutrition Programs,113,Harrisonburg City Public Schools,03/01/2020,4. PM Snack,8,"6,093",8,"2,752",0,0,"2,752",,"5,707"
2019 - 2020,School Nutrition Programs,114,Hopewell City Public Schools,09/01/2019,1. Breakfast,6,"4,311",20,"40,703",0,526,"41,229",,"4,031"
2019 - 2020,School Nutrition Programs,114,Hopewell City Public Schools,09/01/2019,3. Lunch,6,"4,311",20,"59,603",0,772,"60,375",,"4,031"
2019 - 2020,School Nutrition Programs,114,Hopewell City Public Schools,10/01/2019,1. Breakfast,6,"13,166",23,"48,181",0,624,"48,805",,"4,070"
2019 - 2020,School Nutrition Programs,114,Hopewell City Public Schools,10/01/2019,3. Lunch,6,"4,293",23,"69,635",0,904,"70,539",,"4,070"
2019 - 2020,School Nutrition Programs,114,Hopewell City Public Schools,11/01/2019,1. Breakfast,6,"4,279",17,"34,157",0,443,"34,600",,"4,014"
2019 - 2020,School Nutrition Programs,114,Hopewell City Public Schools,11/01/2019,3. Lunch,6,"4,279",17,"51,084",0,661,"51,745",,"4,014"
2019 - 2020,School Nutrition Programs,114,Hopewell City Public Schools,12/01/2019,1. Breakfast,6,"4,262",15,"31,170",0,404,"31,574",,"4,012"
2019 - 2020,School Nutrition Programs,114,Hopewell City Public Schools,12/01/2019,3. Lunch,6,"4,262",15,"44,964",0,583,"45,547",,"4,012"
2019 - 2020,School Nutrition Programs,114,Hopewell City Public Schools,01/01/2020,1. Breakfast,6,"4,266",17,"34,681",0,449,"35,130",,"4,025"
2019 - 2020,School Nutrition Programs,114,Hopewell City Public Schools,01/01/2020,3. Lunch,6,"4,266",17,"50,862",0,660,"51,522",,"4,025"
2019 - 2020,School Nutrition Programs,114,Hopewell City Public Schools,02/01/2020,1. Breakfast,6,"4,267",18,"36,323",0,470,"36,793",,"3,983"
2019 - 2020,School Nutrition Programs,114,Hopewell City Public Schools,02/01/2020,3. Lunch,6,"4,267",18,"53,066",0,687,"53,753",,"3,983"
